COD_MUNIC_IBGE,MUNIC_PROPONENTE,UF_PROPONENTE,NR_CONVENIO,count,soma_por_convenio
1100015,ALTA FLORESTA D'OESTE,RO,706843,2,102555.55
1100015,ALTA FLORESTA D'OESTE,RO,713962,5,128988.3
1100015,ALTA FLORESTA D'OESTE,RO,733714,3,217450.0
1100015,ALTA FLORESTA D'OESTE,RO,734576,2,348e3
1100015,ALTA FLORESTA D'OESTE,RO,734980,1,151710.0
1100015,ALTA FLORESTA D'OESTE,RO,737177,1,110680.0
1100015,ALTA FLORESTA D'OESTE,RO,737215,3,98771.40000000001
1100015,ALTA FLORESTA D'OESTE,RO,739152,2,114137.76
1100015,ALTA FLORESTA D'OESTE,RO,741775,3,83990.0
1100015,ALTA FLORESTA D'OESTE,RO,743560,3,105445.0
1100015,ALTA FLORESTA D'OESTE,RO,756517,3,501400.0
1100015,ALTA FLORESTA D'OESTE,RO,756592,3,201160.66
1100015,ALTA FLORESTA D'OESTE,RO,759938,4,155250.98
1100015,ALTA FLORESTA D'OESTE,RO,760212,4,243860.03999999998
1100015,ALTA FLORESTA D'OESTE,RO,762170,5,145339.5
1100015,ALTA FLORESTA D'OESTE,RO,762433,1,173500.0
1100015,ALTA FLORESTA D'OESTE,RO,765763,4,343330.0
1100015,ALTA FLORESTA D'OESTE,RO,766396,8,439521.69
1100015,ALTA FLORESTA D'OESTE,RO,767721,1,245e3
1100015,ALTA FLORESTA D'OESTE,RO,767816,6,480332.19
1100015,ALTA FLORESTA D'OESTE,RO,769029,1,178500.0
1100015,ALTA FLORESTA D'OESTE,RO,769846,5,333457.14
1100015,ALTA FLORESTA D'OESTE,RO,770465,2,240070.56
1100015,ALTA FLORESTA D'OESTE,RO,770662,1,94878.11
1100015,ALTA FLORESTA D'OESTE,RO,770887,4,471433.94000000006
1100015,ALTA FLORESTA D'OESTE,RO,775459,10,214294.9
1100015,ALTA FLORESTA D'OESTE,RO,784650,3,502625.75
1100015,ALTA FLORESTA D'OESTE,RO,784717,4,53889.91
1100015,ALTA FLORESTA D'OESTE,RO,785890,2,189600.0
1100015,ALTA FLORESTA D'OESTE,RO,785935,2,306200.0
1100015,ALTA FLORESTA D'OESTE,RO,790893,2,337400.0
1100015,ALTA FLORESTA D'OESTE,RO,791748,6,366616.14
1100015,ALTA FLORESTA D'OESTE,RO,796745,1,155e3
1100015,ALTA FLORESTA D'OESTE,RO,798582,2,67271.76000000001
1100015,ALTA FLORESTA D'OESTE,RO,801427,1,151e3
1100015,ALTA FLORESTA D'OESTE,RO,801428,4,489313.69
1100015,ALTA FLORESTA D'OESTE,RO,801461,1,479699.0
1100015,ALTA FLORESTA D'OESTE,RO,801470,2,208e3
1100015,ALTA FLORESTA D'OESTE,RO,802584,3,247492.45
1100015,ALTA FLORESTA D'OESTE,RO,804634,4,191189.01
1100015,ALTA FLORESTA D'OESTE,RO,804953,3,171669.78
1100015,ALTA FLORESTA D'OESTE,RO,807251,2,111270.0
1100015,ALTA FLORESTA D'OESTE,RO,814566,5,238103.74
1100015,ALTA FLORESTA D'OESTE,RO,815314,3,178340.94
1100015,ALTA FLORESTA D'OESTE,RO,817066,3,73120.0
1100015,ALTA FLORESTA D'OESTE,RO,817215,3,493883.64
1100015,ALTA FLORESTA D'OESTE,RO,818022,3,64380.0
1100015,ALTA FLORESTA D'OESTE,RO,825177,1,396999.0
1100023,ARIQUEMES,RO,703098,14,22338.420000000002
1100023,ARIQUEMES,RO,706111,19,302904.17
1100023,ARIQUEMES,RO,707186,1,101410.0
1100023,ARIQUEMES,RO,707441,2,91995.0
1100023,ARIQUEMES,RO,708994,2,107500.0
1100023,ARIQUEMES,RO,710921,3,324733.58
1100023,ARIQUEMES,RO,711182,1,111700.0
1100023,ARIQUEMES,RO,712864,13,203527.8
1100023,ARIQUEMES,RO,713512,2,127512.48
1100023,ARIQUEMES,RO,713526,5,292846.48000000004
1100023,ARIQUEMES,RO,719019,2,123291.23
1100023,ARIQUEMES,RO,719988,2,177619.88
1100023,ARIQUEMES,RO,720340,2,330954.06
1100023,ARIQUEMES,RO,722880,8,521507.27
1100023,ARIQUEMES,RO,728370,16,207620.66
1100023,ARIQUEMES,RO,736074,3,93369.99
1100023,ARIQUEMES,RO,738202,2,88180.0
1100023,ARIQUEMES,RO,741114,6,526574.59
1100023,ARIQUEMES,RO,742886,2,96348.0
1100023,ARIQUEMES,RO,756594,1,394235.41
1100023,ARIQUEMES,RO,756666,4,346755.76
1100023,ARIQUEMES,RO,766216,1,73170.32
1100023,ARIQUEMES,RO,771060,4,338334.47
1100023,ARIQUEMES,RO,771178,2,303900.0
1100023,ARIQUEMES,RO,771179,4,373572.5
1100023,ARIQUEMES,RO,771181,1,205e3
1100023,ARIQUEMES,RO,781032,2,381297.41000000003
1100023,ARIQUEMES,RO,781119,1,153e3
1100023,ARIQUEMES,RO,781204,2,398980.47000000003
1100023,ARIQUEMES,RO,785171,3,434755.20999999996
1100023,ARIQUEMES,RO,785881,3,298852.22
1100023,ARIQUEMES,RO,785883,3,474815.49
1100023,ARIQUEMES,RO,786661,1,185500.0
1100023,ARIQUEMES,RO,788405,1,514140.0
1100023,ARIQUEMES,RO,792166,4,313263.87
1100023,ARIQUEMES,RO,798705,1,514140.0
1100023,ARIQUEMES,RO,801453,1,170750.0
1100023,ARIQUEMES,RO,801845,1,76189.0
1100031,CABIXI,RO,710753,4,424488.10000000003
1100031,CABIXI,RO,736069,1,112350.0
1100031,CABIXI,RO,743438,1,116950.0
1100031,CABIXI,RO,760251,4,162895.06
1100031,CABIXI,RO,770528,2,144250.0
1100031,CABIXI,RO,771177,5,286314.43
1100031,CABIXI,RO,771684,3,2e5
1100031,CABIXI,RO,782279,1,20880.69
1100031,CABIXI,RO,784551,1,267850.0
1100031,CABIXI,RO,784720,2,86740.0
1100031,CABIXI,RO,799450,3,167950.0
1100031,CABIXI,RO,801237,3,144400.0
1100031,CABIXI,RO,801247,1,305750.0
1100031,CABIXI,RO,801418,1,305750.0
1100031,CABIXI,RO,801430,1,415900.0
1100031,CABIXI,RO,801441,1,23e4
1100031,CABIXI,RO,809907,2,69738.18
1100031,CABIXI,RO,815120,1,85999.0
1100031,CABIXI,RO,817441,1,153733.84
1100049,CACOAL,RO,703901,13,107489.26
1100049,CACOAL,RO,707134,5,182015.55
1100049,CACOAL,RO,707574,6,343132.08
1100049,CACOAL,RO,710582,5,831370.89
1100049,CACOAL,RO,711088,18,965166.73
1100049,CACOAL,RO,711306,4,832360.7799999999
1100049,CACOAL,RO,713266,2,194919.02000000002
1100049,CACOAL,RO,716162,7,288524.67
1100049,CACOAL,RO,727068,5,225505.0
1100049,CACOAL,RO,728360,17,191022.06
1100049,CACOAL,RO,732685,5,202250.0
1100049,CACOAL,RO,733407,1,253e3
1100049,CACOAL,RO,733512,3,517224.45
1100049,CACOAL,RO,734558,4,882950.0
1100049,CACOAL,RO,734991,18,109600.0
1100049,CACOAL,RO,741459,3,157648.82
1100049,CACOAL,RO,741758,12,129738.0
1100049,CACOAL,RO,745835,2,240491.06
1100049,CACOAL,RO,751007,24,62045.33
1100049,CACOAL,RO,757746,5,890758.51
1100049,CACOAL,RO,759349,1,78261.57
1100049,CACOAL,RO,760213,2,314693.2
1100049,CACOAL,RO,761906,2,147800.0
1100049,CACOAL,RO,764478,4,157399.0
1100049,CACOAL,RO,765750,2,12e4
1100049,CACOAL,RO,768028,21,145762.54
1100049,CACOAL,RO,770529,2,757648.26
1100049,CACOAL,RO,770788,2,379e3
1100049,CACOAL,RO,772372,2,103500.0
1100049,CACOAL,RO,772602,5,151287.0
1100049,CACOAL,RO,774857,3,21e4
1100049,CACOAL,RO,776609,2,373937.63
1100049,CACOAL,RO,779083,4,254319.0
1100049,CACOAL,RO,780462,4,274900.0
1100049,CACOAL,RO,780593,4,964807.19
1100049,CACOAL,RO,781000,4,276668.88
1100049,CACOAL,RO,782820,3,469021.0
1100049,CACOAL,RO,782826,3,474615.82
1100049,CACOAL,RO,783396,5,239886.43
1100049,CACOAL,RO,784723,4,198689.0
1100049,CACOAL,RO,788406,1,25e4
1100049,CACOAL,RO,794267,3,154900.0
1100049,CACOAL,RO,798599,4,142559.66
1100049,CACOAL,RO,798708,2,487e3
1100049,CACOAL,RO,800001,3,361257.51
1100049,CACOAL,RO,800321,1,443400.0
1100049,CACOAL,RO,801232,4,893248.0
1100049,CACOAL,RO,801412,3,383975.0
1100049,CACOAL,RO,801579,3,275514.24
1100049,CACOAL,RO,801735,4,460196.56
1100049,CACOAL,RO,802579,3,210528.71
1100056,CEREJEIRAS,RO,706799,1,252900.0
1100056,CEREJEIRAS,RO,709211,9,88810.25
1100056,CEREJEIRAS,RO,710930,5,141139.36
1100056,CEREJEIRAS,RO,714562,4,112500.0
1100056,CEREJEIRAS,RO,719118,7,105899.29999999999
1100056,CEREJEIRAS,RO,725819,4,51205.44
1100056,CEREJEIRAS,RO,734586,3,199393.72
1100056,CEREJEIRAS,RO,734983,5,242273.53
1100056,CEREJEIRAS,RO,734995,5,334427.88
1100056,CEREJEIRAS,RO,738751,9,894811.25
1100056,CEREJEIRAS,RO,744128,1,102100.0
1100056,CEREJEIRAS,RO,756678,6,127383.19
1100056,CEREJEIRAS,RO,760532,9,462476.87
1100056,CEREJEIRAS,RO,766108,3,200397.65000000002
1100056,CEREJEIRAS,RO,768765,9,525209.95
