COD_MUNIC_IBGE,MUNIC_PROPONENTE,UF_PROPONENTE,IDENTIF_FORNECEDOR,count,soma_por_fornecedor
1100015,ALTA FLORESTA D'OESTE,RO,01196537000131,2,19400.0
1100015,ALTA FLORESTA D'OESTE,RO,01663698000198,3,247492.45
1100015,ALTA FLORESTA D'OESTE,RO,02377798000463,2,349500.0
1100015,ALTA FLORESTA D'OESTE,RO,03058241000180,4,489313.69
1100015,ALTA FLORESTA D'OESTE,RO,03174630000170,11,610934.1799999999
1100015,ALTA FLORESTA D'OESTE,RO,03363727000121,2,66307.9
1100015,ALTA FLORESTA D'OESTE,RO,03483599000150,2,177600.0
1100015,ALTA FLORESTA D'OESTE,RO,03483599000400,2,189600.0
1100015,ALTA FLORESTA D'OESTE,RO,03706607000180,5,558356.48
1100015,ALTA FLORESTA D'OESTE,RO,03819835000166,2,21645.0
1100015,ALTA FLORESTA D'OESTE,RO,04004410000161,1,19387.76
1100015,ALTA FLORESTA D'OESTE,RO,04064870000185,1,10680.0
1100015,ALTA FLORESTA D'OESTE,RO,04570591000193,1,23950.0
1100015,ALTA FLORESTA D'OESTE,RO,04910717000121,4,1039e3
1100015,ALTA FLORESTA D'OESTE,RO,04996600000102,3,359e3
1100015,ALTA FLORESTA D'OESTE,RO,05043720000158,6,184675.98
1100015,ALTA FLORESTA D'OESTE,RO,05797417000140,3,33979.0
1100015,ALTA FLORESTA D'OESTE,RO,06067041000181,1,595e3
1100015,ALTA FLORESTA D'OESTE,RO,06140580000107,16,1433859.67
1100015,ALTA FLORESTA D'OESTE,RO,07103838000150,8,439521.69
1100015,ALTA FLORESTA D'OESTE,RO,07128204000151,5,145339.5
1100015,ALTA FLORESTA D'OESTE,RO,07347114000151,1,14e3
1100015,ALTA FLORESTA D'OESTE,RO,07595449000199,1,110680.0
1100015,ALTA FLORESTA D'OESTE,RO,07893566000139,5,128988.3
1100015,ALTA FLORESTA D'OESTE,RO,08156871000100,1,38990.0
1100015,ALTA FLORESTA D'OESTE,RO,08206867000100,1,254200.0
1100015,ALTA FLORESTA D'OESTE,RO,08381739000100,2,37777.91
1100015,ALTA FLORESTA D'OESTE,RO,09340232000163,1,396999.0
1100015,ALTA FLORESTA D'OESTE,RO,09428334000135,4,471433.94000000006
1100015,ALTA FLORESTA D'OESTE,RO,09497648000190,5,384595.0
1100015,ALTA FLORESTA D'OESTE,RO,10408092000105,2,17355.55
1100015,ALTA FLORESTA D'OESTE,RO,10900832000118,1,27198.0
1100015,ALTA FLORESTA D'OESTE,RO,11204661000155,3,493883.64
1100015,ALTA FLORESTA D'OESTE,RO,12753213000173,2,152600.0
1100015,ALTA FLORESTA D'OESTE,RO,13165289000140,3,98771.40000000001
1100015,ALTA FLORESTA D'OESTE,RO,13465318000190,6,366616.14
1100015,ALTA FLORESTA D'OESTE,RO,13741623000167,4,243860.03999999998
1100015,ALTA FLORESTA D'OESTE,RO,14568575000110,3,29612.0
1100015,ALTA FLORESTA D'OESTE,RO,14594006000300,1,479699.0
1100015,ALTA FLORESTA D'OESTE,RO,16784249000175,1,10180.0
1100015,ALTA FLORESTA D'OESTE,RO,18040800000100,3,502625.75
1100015,ALTA FLORESTA D'OESTE,RO,18286017000112,4,191189.01
1100015,ALTA FLORESTA D'OESTE,RO,19614838000101,19,728853.9500000001
1100015,ALTA FLORESTA D'OESTE,RO,22881858000145,2,49490.0
1100015,ALTA FLORESTA D'OESTE,RO,34709857000105,1,225e3
1100015,ALTA FLORESTA D'OESTE,RO,59104760000191,1,94878.11
1100015,ALTA FLORESTA D'OESTE,RO,60850617000128,3,887200.0
1100015,ALTA FLORESTA D'OESTE,RO,78056272000109,1,34990.0
1100015,ALTA FLORESTA D'OESTE,RO,84639996000170,12,819140.4
1100015,ALTA FLORESTA D'OESTE,RO,84652296000115,1,155e3
1100015,ALTA FLORESTA D'OESTE,RO,84846328000113,3,372390.0
1100015,ALTA FLORESTA D'OESTE,RO,89460331000118,1,254250.0
1100015,ALTA FLORESTA D'OESTE,RO,95863684000161,2,113e3
1100023,ARIQUEMES,RO,00349459000103,1,1467.99
1100023,ARIQUEMES,RO,00940956000173,1,205e3
1100023,ARIQUEMES,RO,01682344000190,12,2628432.85
1100023,ARIQUEMES,RO,01705566000181,7,845507.88
1100023,ARIQUEMES,RO,01914137000114,1,2754.0
1100023,ARIQUEMES,RO,02477785000113,1,1369.0
1100023,ARIQUEMES,RO,02800801000167,15,1159501.65
1100023,ARIQUEMES,RO,03147401000167,2,11360.0
1100023,ARIQUEMES,RO,03843541000170,1,2632.0
1100023,ARIQUEMES,RO,04113638000190,1,2789.28
1100023,ARIQUEMES,RO,04118411000137,2,127512.48
1100023,ARIQUEMES,RO,04521468000182,1,195.0
1100023,ARIQUEMES,RO,05043720000158,3,21744.0
1100023,ARIQUEMES,RO,05062571000174,3,107758.99
1100023,ARIQUEMES,RO,05163253000108,1,185500.0
1100023,ARIQUEMES,RO,05195016000110,2,123291.23
1100023,ARIQUEMES,RO,05255167000117,4,13420.289999999999
1100023,ARIQUEMES,RO,05553013000101,1,262.41
1100023,ARIQUEMES,RO,05560438000148,1,2340.0
1100023,ARIQUEMES,RO,05646969000158,16,2552344.96
1100023,ARIQUEMES,RO,05700441000110,2,675.0
1100023,ARIQUEMES,RO,05761464000134,2,147.5
1100023,ARIQUEMES,RO,05782685000199,7,90819.0
1100023,ARIQUEMES,RO,05880596000185,1,35490.0
1100023,ARIQUEMES,RO,05887870000148,3,12548.5
1100023,ARIQUEMES,RO,05909411000118,2,75900.0
1100023,ARIQUEMES,RO,06067041000181,2,1028280.0
1100023,ARIQUEMES,RO,07283888000166,2,330954.06
1100023,ARIQUEMES,RO,07763606000128,1,1258.75
1100023,ARIQUEMES,RO,08307727000128,1,1217.37
1100023,ARIQUEMES,RO,08440584000128,2,310200.0
1100023,ARIQUEMES,RO,08440584000390,1,153e3
1100023,ARIQUEMES,RO,08593528000123,2,22537.8
1100023,ARIQUEMES,RO,08596997000104,20,2653579.24
1100023,ARIQUEMES,RO,08685277000107,1,2380.8
1100023,ARIQUEMES,RO,09497648000190,1,9900.0
1100023,ARIQUEMES,RO,10430420000161,2,107500.0
1100023,ARIQUEMES,RO,10575366000142,6,712244.34
1100023,ARIQUEMES,RO,10596399000179,1,598.99
1100023,ARIQUEMES,RO,10726497000183,3,102790.0
1100023,ARIQUEMES,RO,11464383000175,1,7329.99
1100023,ARIQUEMES,RO,12103781000129,1,194e3
1100023,ARIQUEMES,RO,12288727000103,1,3756.0
1100023,ARIQUEMES,RO,12349852000178,1,900.0
1100023,ARIQUEMES,RO,13344554000158,1,14470.0
1100023,ARIQUEMES,RO,13590994000195,6,526574.59
1100023,ARIQUEMES,RO,14224773000166,1,1871.8
