cidade,UF,gini_valor_convenio,gini_valor_fornecedor,coef
ACRELANDIA,AC,0.27428997046418013,0.37796291746131594,1.3779684208711327
BRASILEIA,AC,0.2871065545120288,0.578098533084396,2.0135330385157597
BUJARI,AC,0.2156053081031355,0.31437866067993037,1.4581211540930445
CRUZEIRO DO SUL,AC,0.31433726267268014,0.6961494765290333,2.214657818834335
EPITACIOLANDIA,AC,0.2614133442571962,0.46125849528922025,1.764479531830643
MANCIO LIMA,AC,0.298355396832366,0.6183704304239575,2.07259676543205
MARECHAL THAUMATURGO,AC,0.24520236175892052,0.5287543649539055,2.1563999676062227
PLACIDO DE CASTRO,AC,0.2323403056205411,0.3935578956625254,1.6938855899814704
PORTO WALTER,AC,0.2210398130949276,0.3767324562189045,1.704364706719659
RIO BRANCO,AC,0.3745271394157754,0.8210293435718654,2.1921758323110803
RODRIGUES ALVES,AC,0.2372574957015452,0.5979504325072456,2.520259394710248
SANTA ROSA DO PURUS,AC,0.19715633689703704,0.46649659425984513,2.3661252871799316
SENA MADUREIRA,AC,0.21769970470346767,0.5679910364310201,2.609057450053458
SENADOR GUIOMARD,AC,0.3306841672521088,0.5545512615382324,1.6769815928787741
TARAUACA,AC,0.25116746264119083,0.5501795613947373,2.1904889893349955
XAPURI,AC,0.247779261659419,0.541348705880444,2.1848023206419356
ARAPIRACA,AL,0.43905579275260287,0.8879281450845511,2.0223583420179967
BARRA DE SAO MIGUEL,AL,0.36814773604964923,0.5797026395754804,1.5746467594664235
CAMPO ALEGRE,AL,0.31103315043350976,0.7290043525794401,2.3438156079613157
CORURIPE,AL,0.4584449681774645,0.6639622474001201,1.4482921473425348
DELMIRO GOUVEIA,AL,0.4996594099737717,0.8231914012460133,1.647505050068455
JEQUIA DA PRAIA,AL,0.43159175416425954,0.7926566505832304,1.8365889592078564
MACEIO,AL,0.43667605053918157,0.9039813108138173,2.0701417210713413
MESSIAS,AL,0.20854517020961216,0.3605582965634535,1.7289218263892205
MURICI,AL,0.37916078218798877,0.6647184311069472,1.7531307622880108
OURO BRANCO,AL,0.1829125450106286,0.58051617501539,3.1737362518336707
